1 0 FT924-655 1  22.968359 STANDARD
46 0 FT932-10850 1  10.04997 STANDARD
46 0 FT943-4614 1  10.047415 STANDARD
46 0 FT931-4720 1  10.046378 STANDARD
46 0 FT922-7187 1  10.04482 STANDARD
46 0 FT932-7217 1  10.043176 STANDARD
46 0 FT924-13667 1  10.043087 STANDARD
46 0 FT934-3589 1  10.034626 STANDARD
46 0 FT941-10789 1  10.034594 STANDARD
46 0 FT944-12354 1  10.033285 STANDARD
46 0 FT933-17006 1  10.029546 STANDARD
46 0 FT942-7399 1  10.028136 STANDARD
46 0 FT944-1693 1  10.027038 STANDARD
46 0 FT921-5244 1  10.018505 STANDARD
46 0 FT941-6154 1  10.01812 STANDARD
46 0 FT934-4844 1  10.017453 STANDARD
46 0 FT932-8189 1  10.015028 STANDARD
46 0 FT921-15953 1  10.011346 STANDARD
46 0 FT934-11481 1  10.010957 STANDARD
46 0 FT933-7659 1  10.009431 STANDARD
46 0 FT941-11234 1  10.006749 STANDARD
46 0 FT931-5128 1  10.002612 STANDARD
46 0 FT911-2621 1  9.998094 STANDARD
46 0 FT922-2730 1  9.997931 STANDARD
46 0 FT933-895 1  9.997875 STANDARD
46 0 FT934-11514 1  9.997343 STANDARD
46 0 FT934-6499 1  9.992002 STANDARD
46 0 FT934-6592 1  9.990573 STANDARD
46 0 FT921-1545 1  9.988216 STANDARD
46 0 FT931-341 1  9.986649 STANDARD
46 0 FT911-4582 1  9.984019 STANDARD
46 0 FT943-12099 1  9.983426 STANDARD
46 0 FT934-7591 1  9.982958 STANDARD
46 0 FT931-756 1  9.9823475 STANDARD
46 0 FT934-6674 1  9.979895 STANDARD
46 0 FT943-6195 1  9.975428 STANDARD
46 0 FT924-7430 1  9.975321 STANDARD
46 0 FT924-10696 1  9.973747 STANDARD
46 0 FT924-2793 1  9.972625 STANDARD
46 0 FT944-14551 1  9.967126 STANDARD
46 0 FT942-9340 1  9.965689 STANDARD
46 0 FT934-10423 1  9.962686 STANDARD
46 0 FT942-14633 1  9.961096 STANDARD
46 0 FT941-9487 1  9.959158 STANDARD
46 0 FT941-12140 1  9.953526 STANDARD
46 0 FT931-6073 1  9.952164 STANDARD
46 0 FT924-3712 1  9.951948 STANDARD
46 0 FT941-11647 1  9.950484 STANDARD
46 0 FT942-16181 1  9.949997 STANDARD
46 0 FT934-14884 1  9.949032 STANDARD
46 0 FT932-7415 1  9.94735 STANDARD
46 0 FT941-15584 1  9.94684 STANDARD
46 0 FT944-3876 1  9.945183 STANDARD
46 0 FT932-4072 1  9.942061 STANDARD
46 0 FT933-5874 1  9.9377165 STANDARD
46 0 FT942-4628 1  9.93756 STANDARD
46 0 FT931-26 1  9.936502 STANDARD
46 0 FT933-3295 1  9.933746 STANDARD
46 0 FT944-11647 1  9.932514 STANDARD
46 0 FT942-9546 1  9.931427 STANDARD
46 0 FT941-9625 1  9.92906 STANDARD
46 0 FT943-4039 1  9.925025 STANDARD
46 0 FT911-2543 1  9.922343 STANDARD
46 0 FT932-15395 1  9.92226 STANDARD
46 0 FT934-12210 1  9.921218 STANDARD
46 0 FT932-3423 1  9.916738 STANDARD
46 0 FT933-2434 1  9.915098 STANDARD
46 0 FT942-16640 1  9.91118 STANDARD
46 0 FT943-15672 1  9.908647 STANDARD
46 0 FT933-15269 1  9.908416 STANDARD
46 0 FT934-2195 1  9.906522 STANDARD
46 0 FT943-12547 1  9.906458 STANDARD
46 0 FT921-2038 1  9.904046 STANDARD
46 0 FT941-8153 1  9.902727 STANDARD
46 0 FT931-16379 1  9.899645 STANDARD
46 0 FT934-1537 1  9.89226 STANDARD
46 0 FT944-16753 1  9.884934 STANDARD
46 0 FT942-3197 1  9.882871 STANDARD
46 0 FT934-2173 1  9.882437 STANDARD
46 0 FT933-16038 1  9.8820915 STANDARD
46 0 FT941-487 1  9.88153 STANDARD
46 0 FT932-6283 1  9.877568 STANDARD
46 0 FT932-2184 1  9.874755 STANDARD
46 0 FT942-10322 1  9.871162 STANDARD
46 0 FT921-4725 1  9.870454 STANDARD
46 0 FT934-8809 1  9.867532 STANDARD
46 0 FT921-10284 1  9.867218 STANDARD
46 0 FT933-8073 1  9.86411 STANDARD
46 0 FT931-15502 1  9.862784 STANDARD
46 0 FT931-15646 1  9.862784 STANDARD
46 0 FT911-4574 1  9.85974 STANDARD
46 0 FT941-17278 1  9.859414 STANDARD
46 0 FT944-503 1  9.858471 STANDARD
46 0 FT934-10086 1  9.857757 STANDARD
46 0 FT933-16389 1  9.8521 STANDARD
46 0 FT911-4343 1  9.851978 STANDARD
46 0 FT921-14823 1  9.851854 STANDARD
46 0 FT942-3936 1  9.850455 STANDARD
46 0 FT942-14302 1  9.847512 STANDARD
46 0 FT942-8492 1  9.841282 STANDARD
46 0 FT932-17425 1  9.838158 STANDARD
46 0 FT932-14557 1  9.836324 STANDARD
46 0 FT922-9066 1  9.835684 STANDARD
46 0 FT943-3000 1  9.827872 STANDARD
46 0 FT944-16579 1  9.827782 STANDARD
46 0 FT942-6666 1  9.8247795 STANDARD
46 0 FT923-6057 1  9.819155 STANDARD
46 0 FT941-17710 1  9.816528 STANDARD
46 0 FT911-5142 1  9.814224 STANDARD
46 0 FT911-1689 1  9.8134775 STANDARD
46 0 FT923-12060 1  9.812974 STANDARD
46 0 FT941-16614 1  9.811367 STANDARD
46 0 FT923-14568 1  9.809741 STANDARD
46 0 FT933-8542 1  9.807798 STANDARD
46 0 FT924-2138 1  9.806741 STANDARD
46 0 FT933-739 1  9.806439 STANDARD
46 0 FT922-10811 1  9.804858 STANDARD
46 0 FT933-2237 1  9.804284 STANDARD
46 0 FT911-4959 1  9.800418 STANDARD
46 0 FT944-7354 1  9.797179 STANDARD
46 0 FT934-11901 1  9.789335 STANDARD
46 0 FT943-16395 1  9.788446 STANDARD
46 0 FT934-1989 1  9.787042 STANDARD
46 0 FT931-11200 1  9.785111 STANDARD
46 0 FT924-2345 1  9.7845335 STANDARD
46 0 FT922-1586 1  9.780998 STANDARD
46 0 FT941-3168 1  9.7749405 STANDARD
46 0 FT943-289 1  9.767254 STANDARD
46 0 FT944-18866 1  9.766068 STANDARD
46 0 FT941-9477 1  9.762758 STANDARD
46 0 FT934-1231 1  9.761361 STANDARD
46 0 FT933-3540 1  9.7561 STANDARD
46 0 FT944-13836 1  9.752642 STANDARD
46 0 FT924-7265 1  9.751207 STANDARD
46 0 FT922-840 1  9.750003 STANDARD
46 0 FT943-1809 1  9.748113 STANDARD
46 0 FT944-15352 1  9.748001 STANDARD
46 0 FT944-610 1  9.745711 STANDARD
46 0 FT942-7403 1  9.7455 STANDARD
46 0 FT922-9041 1  9.744524 STANDARD
46 0 FT924-988 1  9.740568 STANDARD
46 0 FT943-13339 1  9.739509 STANDARD
46 0 FT934-1941 1  9.7388 STANDARD
46 0 FT921-16523 1  9.738286 STANDARD
46 0 FT924-7437 1  9.738077 STANDARD
46 0 FT943-13612 1  9.732514 STANDARD
46 0 FT924-4303 1  9.731132 STANDARD
46 0 FT922-1410 1  9.730809 STANDARD
46 0 FT943-4164 1  9.727657 STANDARD
46 0 FT924-7647 1  9.725744 STANDARD
46 0 FT943-3564 1  9.7216 STANDARD
46 0 FT924-8013 1  9.718597 STANDARD
46 0 FT941-15586 1  9.716556 STANDARD
46 0 FT911-789 1  9.714682 STANDARD
46 0 FT931-15191 1  9.714085 STANDARD
46 0 FT942-7862 1  9.710795 STANDARD
46 0 FT944-14552 1  9.710716 STANDARD
46 0 FT934-7679 1  9.708672 STANDARD
46 0 FT923-5563 1  9.706372 STANDARD
46 0 FT942-9050 1  9.703315 STANDARD
46 0 FT934-10122 1  9.700588 STANDARD
46 0 FT922-7915 1  9.699424 STANDARD
46 0 FT941-8788 1  9.696834 STANDARD
46 0 FT941-6765 1  9.696558 STANDARD
46 0 FT921-15228 1  9.695825 STANDARD
46 0 FT934-8250 1  9.694163 STANDARD
46 0 FT943-15251 1  9.686519 STANDARD
46 0 FT942-2608 1  9.683369 STANDARD
46 0 FT944-14308 1  9.681161 STANDARD
46 0 FT944-17986 1  9.680209 STANDARD
46 0 FT921-7765 1  9.67701 STANDARD
46 0 FT922-5495 1  9.674311 STANDARD
46 0 FT942-5383 1  9.671692 STANDARD
46 0 FT932-17147 1  9.67108 STANDARD
46 0 FT923-14005 1  9.670989 STANDARD
46 0 FT922-14714 1  9.670464 STANDARD
46 0 FT934-16259 1  9.669872 STANDARD
46 0 FT944-12436 1  9.669149 STANDARD
46 0 FT942-9541 1  9.6687355 STANDARD
46 0 FT941-16739 1  9.667549 STANDARD
46 0 FT923-10335 1  9.667228 STANDARD
46 0 FT922-5479 1  9.66545 STANDARD
46 0 FT943-9096 1  9.66306 STANDARD
46 0 FT943-3644 1  9.658079 STANDARD
47 0 FT923-9701 1  29.044102 STANDARD
47 0 FT933-4887 1  21.537754 STANDARD
47 0 FT933-4886 1  21.259895 STANDARD
47 0 FT941-2776 1  19.84053 STANDARD
47 0 FT922-334 1  19.58022 STANDARD
47 0 FT922-578 1  19.40633 STANDARD
47 0 FT941-2958 1  19.338654 STANDARD
47 0 FT942-3138 1  18.060177 STANDARD
47 0 FT942-2056 1  17.781124 STANDARD
47 0 FT932-2745 1  17.68069 STANDARD
47 0 FT942-2612 1  17.582811 STANDARD
47 0 FT934-172 1  17.543653 STANDARD
47 0 FT933-7856 1  17.443972 STANDARD
47 0 FT942-3065 1  17.163914 STANDARD
47 0 FT932-4915 1  17.141867 STANDARD
47 0 FT934-10610 1  16.825853 STANDARD
47 0 FT932-532 1  16.808846 STANDARD
47 0 FT922-5089 1  16.714823 STANDARD
47 0 FT931-4100 1  16.521961 STANDARD
47 0 FT933-11509 1  16.431429 STANDARD
47 0 FT933-16226 1  16.325523 STANDARD
47 0 FT944-2950 1  16.209099 STANDARD
47 0 FT941-14135 1  16.073578 STANDARD
47 0 FT923-15456 1  16.011578 STANDARD
47 0 FT942-14206 1  15.997711 STANDARD
47 0 FT931-16335 1  15.944019 STANDARD
47 0 FT931-3538 1  15.765574 STANDARD
47 0 FT923-3577 1  15.724414 STANDARD
47 0 FT941-10288 1  15.582716 STANDARD
47 0 FT941-6355 1  15.554927 STANDARD
47 0 FT931-3928 1  15.480901 STANDARD
47 0 FT944-2959 1  15.480371 STANDARD
47 0 FT923-9334 1  15.324297 STANDARD
47 0 FT922-14515 1  15.226997 STANDARD
47 0 FT943-11592 1  15.160426 STANDARD
47 0 FT942-2918 1  15.120754 STANDARD
47 0 FT922-1973 1  15.087816 STANDARD
47 0 FT942-13574 1  15.050671 STANDARD
47 0 FT943-17009 1  15.034397 STANDARD
47 0 FT933-13190 1  14.964104 STANDARD
47 0 FT942-12664 1  14.904535 STANDARD
47 0 FT944-6367 1  14.883137 STANDARD
47 0 FT933-14359 1  14.81146 STANDARD
47 0 FT921-747 1  14.733135 STANDARD
47 0 FT942-17172 1  14.714762 STANDARD
47 0 FT943-6035 1  14.670465 STANDARD
47 0 FT933-16471 1  14.628417 STANDARD
47 0 FT932-6135 1  14.60758 STANDARD
47 0 FT944-8755 1  14.51859 STANDARD
47 0 FT924-6108 1  14.492018 STANDARD
47 0 FT944-16928 1  14.429208 STANDARD
47 0 FT933-13124 1  14.38646 STANDARD
47 0 FT943-5608 1  14.374499 STANDARD
47 0 FT921-8293 1  14.301701 STANDARD
47 0 FT933-11280 1  14.297695 STANDARD
47 0 FT943-6838 1  14.268499 STANDARD
47 0 FT923-10246 1  14.2490225 STANDARD
47 0 FT921-371 1  14.159502 STANDARD
47 0 FT924-671 1  14.147376 STANDARD
47 0 FT944-14836 1  14.045525 STANDARD
47 0 FT922-8931 1  14.020653 STANDARD
47 0 FT924-4250 1  13.914574 STANDARD
47 0 FT911-129 1  13.864162 STANDARD
47 0 FT934-1168 1  13.841391 STANDARD
47 0 FT923-40 1  13.840416 STANDARD
47 0 FT932-9737 1  13.79964 STANDARD
47 0 FT931-1709 1  13.790413 STANDARD
47 0 FT922-14099 1  13.773967 STANDARD
47 0 FT943-10133 1  13.745961 STANDARD
47 0 FT933-14752 1  13.737936 STANDARD
47 0 FT924-4482 1  13.692123 STANDARD
47 0 FT933-14753 1  13.655008 STANDARD
47 0 FT931-8287 1  13.626977 STANDARD
47 0 FT931-6785 1  13.614294 STANDARD
47 0 FT934-5596 1  13.598235 STANDARD
47 0 FT933-8058 1  13.582367 STANDARD
47 0 FT923-15356 1  13.519783 STANDARD
47 0 FT934-3008 1  13.477229 STANDARD
47 0 FT944-13678 1  13.438841 STANDARD
47 0 FT934-13051 1  13.38885 STANDARD
47 0 FT924-11003 1  13.386886 STANDARD
47 0 FT924-15217 1  13.358812 STANDARD
47 0 FT943-8500 1  13.302334 STANDARD
47 0 FT921-13537 1  13.275768 STANDARD
47 0 FT944-13676 1  13.223676 STANDARD
47 0 FT911-3916 1  13.213794 STANDARD
47 0 FT944-6966 1  13.210903 STANDARD
47 0 FT942-13133 1  13.210041 STANDARD
47 0 FT922-1423 1  13.183565 STANDARD
47 0 FT924-6475 1  13.182552 STANDARD
47 0 FT923-15543 1  13.168474 STANDARD
47 0 FT942-13 1  13.1612835 STANDARD
47 0 FT934-929 1  13.152724 STANDARD
47 0 FT943-6622 1  13.151728 STANDARD
47 0 FT931-17101 1  13.06647 STANDARD
47 0 FT942-9102 1  13.03782 STANDARD
47 0 FT931-2327 1  13.032069 STANDARD
47 0 FT932-2924 1  13.026236 STANDARD
47 0 FT931-7863 1  13.024138 STANDARD
47 0 FT943-9731 1  13.012696 STANDARD
47 0 FT924-2899 1  13.002651 STANDARD
47 0 FT944-4215 1  13.000668 STANDARD
47 0 FT932-6167 1  12.992746 STANDARD
47 0 FT924-7671 1  12.992306 STANDARD
47 0 FT934-14190 1  12.950331 STANDARD
47 0 FT924-6107 1  12.9450445 STANDARD
47 0 FT942-8458 1  12.933844 STANDARD
47 0 FT944-7974 1  12.877941 STANDARD
47 0 FT922-4077 1  12.866151 STANDARD
47 0 FT943-947 1  12.852986 STANDARD
47 0 FT941-3320 1  12.828677 STANDARD
47 0 FT931-5337 1  12.819535 STANDARD
47 0 FT922-4933 1  12.819415 STANDARD
47 0 FT944-9467 1  12.806512 STANDARD
47 0 FT934-12471 1  12.756438 STANDARD
47 0 FT934-14959 1  12.756196 STANDARD
47 0 FT933-11291 1  12.735192 STANDARD
47 0 FT924-2883 1  12.728937 STANDARD
47 0 FT932-4601 1  12.725597 STANDARD
47 0 FT943-2464 1  12.722637 STANDARD
47 0 FT944-5002 1  12.707227 STANDARD
47 0 FT934-13338 1  12.694608 STANDARD
47 0 FT934-3769 1  12.674443 STANDARD
47 0 FT944-15948 1  12.667368 STANDARD
47 0 FT942-13130 1  12.651038 STANDARD
47 0 FT944-13774 1  12.63166 STANDARD
47 0 FT933-6707 1  12.598736 STANDARD
47 0 FT934-7871 1  12.583658 STANDARD
47 0 FT924-10993 1  12.581634 STANDARD
47 0 FT941-3295 1  12.573061 STANDARD
47 0 FT944-9469 1  12.554911 STANDARD
47 0 FT923-5256 1  12.544167 STANDARD
47 0 FT932-14143 1  12.535575 STANDARD
47 0 FT942-13124 1  12.512452 STANDARD
47 0 FT941-11373 1  12.488728 STANDARD
47 0 FT933-16685 1  12.486455 STANDARD
47 0 FT944-13681 1  12.483359 STANDARD
47 0 FT922-11395 1  12.479602 STANDARD
47 0 FT923-13372 1  12.4733515 STANDARD
47 0 FT944-12327 1  12.459319 STANDARD
47 0 FT931-14178 1  12.443325 STANDARD
47 0 FT924-15319 1  12.443147 STANDARD
47 0 FT911-1693 1  12.442577 STANDARD
47 0 FT933-4347 1  12.431041 STANDARD
47 0 FT923-5599 1  12.419701 STANDARD
47 0 FT933-16481 1  12.407602 STANDARD
47 0 FT931-851 1  12.381027 STANDARD
47 0 FT942-16641 1  12.3760195 STANDARD
47 0 FT924-13464 1  12.357729 STANDARD
47 0 FT924-14493 1  12.348438 STANDARD
47 0 FT923-13222 1  12.347142 STANDARD
47 0 FT911-3921 1  12.3469925 STANDARD
47 0 FT944-2245 1  12.337211 STANDARD
47 0 FT944-2686 1  12.337211 STANDARD
47 0 FT922-9190 1  12.321976 STANDARD
47 0 FT923-5250 1  12.305307 STANDARD
47 0 FT933-5624 1  12.292339 STANDARD
47 0 FT921-2413 1  12.278803 STANDARD
47 0 FT922-14303 1  12.276981 STANDARD
47 0 FT941-14238 1  12.26428 STANDARD
47 0 FT933-11750 1  12.263546 STANDARD
47 0 FT934-15215 1  12.252605 STANDARD
47 0 FT941-12399 1  12.233753 STANDARD
47 0 FT922-13581 1  12.23343 STANDARD
47 0 FT932-8692 1  12.2308235 STANDARD
47 0 FT942-2754 1  12.217245 STANDARD
47 0 FT944-17790 1  12.2160425 STANDARD
47 0 FT921-5726 1  12.205808 STANDARD
47 0 FT931-8774 1  12.201448 STANDARD
47 0 FT931-8871 1  12.201448 STANDARD
47 0 FT943-11031 1  12.19749 STANDARD
47 0 FT942-15203 1  12.182866 STANDARD
47 0 FT911-420 1  12.177392 STANDARD
47 0 FT942-9109 1  12.1535225 STANDARD
47 0 FT922-4414 1  12.143676 STANDARD
47 0 FT933-4197 1  12.124123 STANDARD
47 0 FT911-4015 1  12.109839 STANDARD
47 0 FT921-1413 1  12.091145 STANDARD
47 0 FT941-8152 1  12.071806 STANDARD
47 0 FT934-10137 1  12.06885 STANDARD
47 0 FT944-4995 1  12.062224 STANDARD
47 0 FT934-2222 1  12.034905 STANDARD
47 0 FT923-5253 1  12.031648 STANDARD
47 0 FT932-10832 1  12.030631 STANDARD
47 0 FT942-288 1  12.0079155 STANDARD
47 0 FT942-11616 1  11.99642 STANDARD
47 0 FT924-13465 1  11.993975 STANDARD
47 0 FT942-13142 1  11.99339 STANDARD
47 0 FT922-14088 1  11.990887 STANDARD
47 0 FT922-1476 1  11.97306 STANDARD
47 0 FT944-16001 1  11.964707 STANDARD
47 0 FT921-3434 1  11.963634 STANDARD
47 0 FT922-12201 1  11.962177 STANDARD
47 0 FT943-16400 1  11.940472 STANDARD
47 0 FT942-2748 1  11.925479 STANDARD
47 0 FT921-3133 1  11.916377 STANDARD
47 0 FT921-449 1  11.90917 STANDARD
47 0 FT911-2605 1  11.882217 STANDARD
47 0 FT932-2662 1  11.88146 STANDARD
47 0 FT921-15985 1  11.879023 STANDARD
47 0 FT923-4505 1  11.860144 STANDARD
47 0 FT932-15099 1  11.858945 STANDARD
47 0 FT924-15559 1  11.855597 STANDARD
47 0 FT924-2795 1  11.8523655 STANDARD
47 0 FT921-3132 1  11.851045 STANDARD
47 0 FT924-16059 1  11.843426 STANDARD
47 0 FT933-3289 1  11.834326 STANDARD
47 0 FT923-14596 1  11.788385 STANDARD
47 0 FT922-2552 1  11.778104 STANDARD
47 0 FT924-8607 1  11.773166 STANDARD
47 0 FT932-6844 1  11.754715 STANDARD
47 0 FT932-15364 1  11.750222 STANDARD
47 0 FT943-14458 1  11.745763 STANDARD
47 0 FT943-13128 1  11.735719 STANDARD
47 0 FT943-13220 1  11.735719 STANDARD
47 0 FT944-2270 1  11.735719 STANDARD
47 0 FT944-2711 1  11.735719 STANDARD
47 0 FT941-13208 1  11.700403 STANDARD
47 0 FT923-6353 1  11.692002 STANDARD
47 0 FT941-10142 1  11.691342 STANDARD
47 0 FT933-11326 1  11.69041 STANDARD
47 0 FT942-16471 1  11.680452 STANDARD
47 0 FT933-8287 1  11.673729 STANDARD
47 0 FT924-9143 1  11.668171 STANDARD
47 0 FT932-2747 1  11.6649885 STANDARD
47 0 FT944-16104 1  11.661601 STANDARD
47 0 FT931-4075 1  11.645424 STANDARD
47 0 FT941-6349 1  11.633512 STANDARD
47 0 FT922-15406 1  11.631239 STANDARD
47 0 FT942-1955 1  11.615201 STANDARD
47 0 FT941-14150 1  11.611562 STANDARD
47 0 FT924-4000 1  11.608588 STANDARD
47 0 FT944-9184 1  11.591628 STANDARD
47 0 FT943-4643 1  11.569222 STANDARD
47 0 FT921-7699 1  11.554049 STANDARD
47 0 FT923-445 1  11.545976 STANDARD
47 0 FT923-14595 1  11.538604 STANDARD
47 0 FT931-14424 1  11.529952 STANDARD
47 0 FT921-8357 1  11.519443 STANDARD
47 0 FT934-3785 1  11.516188 STANDARD
47 0 FT922-9740 1  11.511694 STANDARD
47 0 FT943-6557 1  11.5097475 STANDARD
47 0 FT933-2328 1  11.508999 STANDARD
47 0 FT931-2842 1  11.507905 STANDARD
47 0 FT933-8657 1  11.506319 STANDARD
47 0 FT923-6010 1  11.505616 STANDARD
47 0 FT911-3908 1  11.502311 STANDARD
47 0 FT932-14130 1  11.49613 STANDARD
47 0 FT933-1583 1  11.494454 STANDARD
47 0 FT932-12405 1  11.474976 STANDARD
47 0 FT943-8420 1  11.473583 STANDARD
47 0 FT944-3043 1  11.472441 STANDARD
47 0 FT931-8227 1  11.464916 STANDARD
47 0 FT942-10818 1  11.46265 STANDARD
47 0 FT932-4233 1  11.447809 STANDARD
47 0 FT943-5609 1  11.444391 STANDARD
47 0 FT922-12247 1  11.4442005 STANDARD
47 0 FT911-382 1  11.438737 STANDARD
47 0 FT944-16101 1  11.429923 STANDARD
47 0 FT942-3728 1  11.42926 STANDARD
47 0 FT931-12869 1  11.42461 STANDARD
47 0 FT942-6031 1  11.393341 STANDARD
47 0 FT921-2422 1  11.384619 STANDARD
47 0 FT924-11372 1  11.372228 STANDARD
47 0 FT934-3030 1  11.368314 STANDARD
47 0 FT942-3049 1  11.357727 STANDARD
47 0 FT943-1188 1  11.3553295 STANDARD
47 0 FT922-12244 1  11.344276 STANDARD
47 0 FT934-12096 1  11.338948 STANDARD
47 0 FT941-14999 1  11.331107 STANDARD
47 0 FT943-10114 1  11.327626 STANDARD
47 0 FT924-2703 1  11.327127 STANDARD
47 0 FT934-2950 1  11.313981 STANDARD
47 0 FT941-8706 1  11.313045 STANDARD
47 0 FT942-3638 1  11.310717 STANDARD
47 0 FT934-7575 1  11.305185 STANDARD
47 0 FT944-14454 1  11.299375 STANDARD
47 0 FT931-11313 1  11.296443 STANDARD
47 0 FT932-10646 1  11.293108 STANDARD
47 0 FT941-3302 1  11.290111 STANDARD
47 0 FT922-4597 1  11.27899 STANDARD
47 0 FT944-9458 1  11.278509 STANDARD
47 0 FT944-1907 1  11.267123 STANDARD
47 0 FT944-2115 1  11.267123 STANDARD
47 0 FT941-8031 1  11.241673 STANDARD
47 0 FT924-10352 1  11.239541 STANDARD
47 0 FT934-14085 1  11.23845 STANDARD
47 0 FT934-7544 1  11.221127 STANDARD
47 0 FT922-14316 1  11.206883 STANDARD
47 0 FT911-4318 1  11.202618 STANDARD
47 0 FT941-5227 1  11.200904 STANDARD
47 0 FT923-29 1  11.188187 STANDARD
47 0 FT924-1307 1  11.187098 STANDARD
47 0 FT932-3815 1  11.186536 STANDARD
47 0 FT922-7916 1  11.185892 STANDARD
47 0 FT934-8191 1  11.1855955 STANDARD
47 0 FT934-10416 1  11.185357 STANDARD
47 0 FT923-5198 1  11.183367 STANDARD
47 0 FT921-9791 1  11.17615 STANDARD
47 0 FT943-11556 1  11.17186 STANDARD
47 0 FT944-16106 1  11.154908 STANDARD
47 0 FT924-12732 1  11.153325 STANDARD
47 0 FT944-4064 1  11.14141 STANDARD
47 0 FT943-5682 1  11.13549 STANDARD
47 0 FT942-3066 1  11.13505 STANDARD
47 0 FT942-9101 1  11.120195 STANDARD
47 0 FT941-4913 1  11.112628 STANDARD
47 0 FT944-18679 1  11.104367 STANDARD
47 0 FT924-9548 1  11.102429 STANDARD
47 0 FT924-2465 1  11.097398 STANDARD
47 0 FT923-10243 1  11.094665 STANDARD
47 0 FT941-4508 1  11.087662 STANDARD
47 0 FT943-5596 1  11.082061 STANDARD
47 0 FT932-3889 1  11.076805 STANDARD
47 0 FT932-3178 1  11.075615 STANDARD
47 0 FT921-13892 1  11.075409 STANDARD
47 0 FT923-5246 1  11.056163 STANDARD
47 0 FT942-13539 1  11.053996 STANDARD
47 0 FT944-4751 1  11.043745 STANDARD
47 0 FT943-14296 1  11.041596 STANDARD
47 0 FT934-12473 1  11.031923 STANDARD
47 0 FT922-1479 1  11.029385 STANDARD
47 0 FT942-347 1  11.019194 STANDARD
47 0 FT924-13077 1  11.017921 STANDARD
47 0 FT923-11291 1  11.017742 STANDARD
47 0 FT944-6124 1  11.014062 STANDARD
47 0 FT932-14373 1  11.001813 STANDARD
47 0 FT922-9444 1  10.999891 STANDARD
47 0 FT931-2004 1  10.997427 STANDARD
47 0 FT943-13722 1  10.978168 STANDARD
47 0 FT934-3641 1  10.968565 STANDARD
47 0 FT911-871 1  10.953087 STANDARD
47 0 FT932-6864 1  10.949037 STANDARD
47 0 FT941-2464 1  10.944232 STANDARD
47 0 FT921-7848 1  10.938369 STANDARD
47 0 FT944-13673 1  10.930752 STANDARD
47 0 FT933-4200 1  10.923008 STANDARD
47 0 FT931-13850 1  10.912325 STANDARD
47 0 FT931-8543 1  10.910529 STANDARD
47 0 FT943-10226 1  10.898963 STANDARD
47 0 FT934-17260 1  10.897312 STANDARD
47 0 FT932-6839 1  10.896967 STANDARD
47 0 FT921-16242 1  10.896536 STANDARD
47 0 FT941-11466 1  10.850996 STANDARD
47 0 FT922-7082 1  10.845344 STANDARD
47 0 FT931-8285 1  10.844821 STANDARD
47 0 FT923-10248 1  10.843308 STANDARD
47 0 FT921-10606 1  10.839311 STANDARD
47 0 FT942-470 1  10.838474 STANDARD
47 0 FT934-8706 1  10.838412 STANDARD
47 0 FT932-10435 1  10.831011 STANDARD
47 0 FT932-12401 1  10.830092 STANDARD
47 0 FT923-10032 1  10.826102 STANDARD
47 0 FT921-15490 1  10.823015 STANDARD
47 0 FT943-13881 1  10.817249 STANDARD
47 0 FT923-12958 1  10.81599 STANDARD
47 0 FT933-4689 1  10.799095 STANDARD
47 0 FT942-14764 1  10.792774 STANDARD
47 0 FT924-8681 1  10.788966 STANDARD
47 0 FT922-8130 1  10.78425 STANDARD
47 0 FT922-13524 1  10.776549 STANDARD
47 0 FT932-3108 1  10.775456 STANDARD
47 0 FT933-1949 1  10.77435 STANDARD
47 0 FT932-11809 1  10.768438 STANDARD
47 0 FT911-59 1  10.753147 STANDARD
47 0 FT922-1482 1  10.742976 STANDARD
47 0 FT934-5818 1  10.741685 STANDARD
47 0 FT922-11274 1  10.740048 STANDARD
47 0 FT932-2923 1  10.733311 STANDARD
47 0 FT931-16187 1  10.726465 STANDARD
47 0 FT932-1836 1  10.724576 STANDARD
47 0 FT933-4790 1  10.724419 STANDARD
47 0 FT934-5583 1  10.721561 STANDARD
47 0 FT933-13590 1  10.697286 STANDARD
47 0 FT941-3331 1  10.686208 STANDARD
47 0 FT911-4884 1  10.685573 STANDARD
47 0 FT932-9308 1  10.673057 STANDARD
47 0 FT923-4774 1  10.665314 STANDARD
47 0 FT923-9337 1  10.664243 STANDARD
47 0 FT924-12497 1  10.66198 STANDARD
47 0 FT911-910 1  10.659935 STANDARD
47 0 FT934-13554 1  10.655258 STANDARD
47 0 FT921-4861 1  10.651774 STANDARD
47 0 FT922-1470 1  10.650641 STANDARD
47 0 FT943-9371 1  10.643754 STANDARD
47 0 FT941-6968 1  10.640317 STANDARD
47 0 FT922-1480 1  10.633387 STANDARD
47 0 FT942-8010 1  10.630497 STANDARD
47 0 FT944-2908 1  10.629161 STANDARD
47 0 FT932-13905 1  10.61755 STANDARD
47 0 FT924-8812 1  10.613923 STANDARD
47 0 FT941-3303 1  10.612414 STANDARD
47 0 FT944-16463 1  10.608642 STANDARD
47 0 FT934-2262 1  10.596487 STANDARD
47 0 FT941-16887 1  10.596197 STANDARD
47 0 FT941-4513 1  10.592854 STANDARD
47 0 FT942-13147 1  10.591334 STANDARD
47 0 FT944-1919 1  10.589397 STANDARD
47 0 FT944-2127 1  10.589397 STANDARD
